"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3201 000201A0","R-10","R - Single Family/Cabin","21  ROSEMARY LN","Upper Uwchlan",1990,"Before 1991","1981-1990"
"3201 000201B0","R-10","R - Single Family/Cabin","31  ROSEMARY LN","Upper Uwchlan",1989,"Before 1991","1981-1990"
"3201 000201C0","R-10","R - Single Family/Cabin","41  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201D0","R-10","R - Single Family/Cabin","51  ROSEMARY LN","Upper Uwchlan",1991,"1991 or Later","1991-2000"
"3201 000201E0","R-10","R - Single Family/Cabin","61  ROSEMARY LN","Upper Uwchlan",1991,"1991 or Later","1991-2000"
"3201 000201F0","R-10","R - Single Family/Cabin","71  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201G0","R-10","R - Single Family/Cabin","81  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201H0","R-10","R - Single Family/Cabin","91  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201J0","R-10","R - Single Family/Cabin","101  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201K0","R-10","R - Single Family/Cabin","111  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201L0","R-10","R - Single Family/Cabin","100  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201M0","R-10","R - Single Family/Cabin","90  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201N0","R-10","R - Single Family/Cabin","80  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201P0","R-10","R - Single Family/Cabin","70  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201Q0","R-10","R - Single Family/Cabin","60  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201R0","R-10","R - Single Family/Cabin","50  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201S0","R-10","R - Single Family/Cabin","40  ROSEMARY LN","Upper Uwchlan",1992,"1991 or Later","1991-2000"
"3201 000201T0","R-10","R - Single Family/Cabin","30  ROSEMARY LN","Upper Uwchlan",1991,"1991 or Later","1991-2000"
"3201 000201U0","R-10","R - Single Family/Cabin","20  ROSEMARY LN","Upper Uwchlan",1989,"Before 1991","1981-1990"
"3201 000201V0","R-10","R - Single Family/Cabin","10  ROSEMARY LN","Upper Uwchlan",1989,"Before 1991","1981-1990"
"3201 000703A0","R-10","R - Single Family/Cabin","403  GREENRIDGE RD","Upper Uwchlan",1900,"Before 1991","1950 or older"
"3201 00077000","R-10","R - Single Family/Cabin","14  BUCK DR","Upper Uwchlan",1993,"1991 or Later","1991-2000"
"3201 00077100","R-10","R - Single Family/Cabin","16  BUCK DR","Upper Uwchlan",1993,"1991 or Later","1991-2000"
"3201 00077200","R-10","R - Single Family/Cabin","288  DEERHAVEN WAY","Upper Uwchlan",1987,"Before 1991","1981-1990"
"3201 00077800","R-10","R - Single Family/Cabin","261  DEERHAVEN WAY","Upper Uwchlan",1988,"Before 1991","1981-1990"
"3201 00078100","R-10","R - Single Family/Cabin","272  DEERHAVEN WAY","Upper Uwchlan",1987,"Before 1991","1981-1990"
"3201 00078200","R-10","R - Single Family/Cabin","23  BUCK DR","Upper Uwchlan",1994,"1991 or Later","1991-2000"
"3201 00078300","R-10","R - Single Family/Cabin","21  BUCK DR","Upper Uwchlan",1993,"1991 or Later","1991-2000"
"3201 00078600","R-10","R - Single Family/Cabin","15  BUCK DR","Upper Uwchlan",2000,"1991 or Later","1991-2000"
"3201 00078700","R-10","R - Single Family/Cabin","8  FOX CHASE LN","Upper Uwchlan",1999,"1991 or Later","1991-2000"
